asset_id,title,type,location,keywords
FIG-16,Fig 15 Digital Stress Index Distribution 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-15_digital-stress-index-distribution_2026-02-03.png,digital; stress; index; distribution; figures
FIG-17,Fig 16 Model Comparison Leaderboard 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-16_model-comparison-leaderboard_2026-02-03.png,model; comparison; leaderboard; figures
FIG-18,Fig 17 Final Model Roc Curve 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-17_final-model-roc-curve_2026-02-03.png,final; model; roc; curve; figures
FIG-19,Fig 18 Shap Top Predictors 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-18_shap-top-predictors_2026-02-03.png,shap; top; predictors; figures
FIG-20,Fig 19 Final Research Summary 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-19_final-research-summary_2026-02-03.png,final; research; summary; figures
FIG-21,Fig 20 Distributed Multimodal Framework Diagram V01,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-20_distributed-multimodal-framework_diagram_v01.png,distributed; multimodal; diagram; figures
FIG-22,Fig 21 Distributed Multimodal Framework Affective Computing V01,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-21_distributed-multimodal-framework_affective-computing_v01.png,distributed; multimodal; affective; computing; figures
NOTE-01,Productivity Forecasting Multimodal Framework Part 01 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-01_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
NOTE-02,Productivity Forecasting Multimodal Framework Part 02 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-02_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
NOTE-03,Productivity Forecasting Multimodal Framework Part 03 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-03_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
WRITE-01,Outline,writing,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/outline.md,outline; writing
WRITE-02,References,writing,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/references.bib,references; writing
INDEX-01,Asset Catalog,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/asset-catalog.csv,asset; catalog; index and catalogs
INDEX-02,Figure Index,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/figure-index.csv,figure; index; index and catalogs
INDEX-03,Filename Map,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/filename-map.csv,filename; map; index and catalogs
ARCH-01,Productivity Forecasting Multimodal Framework Notebook V01 Duplicate,archive,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/99 Archive/productivity-forecasting_multimodal-framework_notebook_v01_duplicate.ipynb,productivity; forecasting; multimodal; duplicate; archive
